shop_name,owner_name,email,password,verification_status,status
Barbershop PJKR Universitas San Pedro,Andre Bakker,owner.barbershoppjkruniversita023@pangkaskaka.id,BarbershopPJKRUn@123,approved,created
Barbershop S.I.D,Beni Fanggidae,owner.barbershopsid024@pangkaskaka.id,BarbershopSID@123,approved,created
Barbershop Trabas,Carlos Amtaran,owner.barbershoptrabas025@pangkaskaka.id,BarbershopTrabas@123,approved,created
Barbershop ZM,Daud Ipa,owner.barbershopzm026@pangkaskaka.id,BarbershopZM@123,approved,created
Barbershop88 Ebufu,Ferdi Pello,owner.barbershop88ebufu027@pangkaskaka.id,Barbershop88Ebuf@123,approved,created
Black Barbershop,Ganda Yosef,owner.blackbarbershop028@pangkaskaka.id,BlackBarbershop@123,approved,created
Black Red Barbershop,Harry Manu,owner.blackredbarbershop029@pangkaskaka.id,BlackRedBarbersh@123,approved,created
Blessed Barbershop,Ivan Meko,owner.blessedbarbershop030@pangkaskaka.id,BlessedBarbersho@123,approved,created
Boss Kici Barbershop,Julius Nubatonis,owner.bosskicibarbershop031@pangkaskaka.id,BossKiciBarbersh@123,approved,created
BosQiano Barber,Kris Selan,owner.bosqianobarber032@pangkaskaka.id,BosQianoBarber@123,approved,created
Boxx Barbershop,Lambert Halena,owner.boxxbarbershop033@pangkaskaka.id,BoxxBarbershop@123,approved,created
Brader's Barbershop,Mario Oematan,owner.bradersbarbershop034@pangkaskaka.id,BradersBarbersho@123,approved,created
Brooklyn Barbershop,Nathan Ximenes,owner.brooklynbarbershop035@pangkaskaka.id,BrooklynBarbersh@123,approved,created
Cfk Barbershop,Otto Baba,owner.cfkbarbershop036@pangkaskaka.id,CfkBarbershop@123,approved,created
Coral Barbershop,Paulus Boimau,owner.coralbarbershop037@pangkaskaka.id,CoralBarbershop@123,approved,created
Coral Barbershop Perumnas,Quintus Adoe,owner.coralbarbershopperumnas038@pangkaskaka.id,CoralBarbershopP@123,approved,created
D Ganteng Barbershop,Rendi Ledoh,owner.dgantengbarbershop039@pangkaskaka.id,DGantengBarbersh@123,approved,created
Daeng Barbershop,Silvester Gero,owner.daengbarbershop040@pangkaskaka.id,DaengBarbershop@123,approved,created
David Barbershop,Timo Nifu,owner.davidbarbershop041@pangkaskaka.id,DavidBarbershop@123,approved,created
DiZett Barbershop,Umar Waty,owner.dizettbarbershop042@pangkaskaka.id,DiZettBarbershop@123,approved,created
El Nino Barbershop,Viktor Nalle,owner.elninobarbershop043@pangkaskaka.id,ElNinoBarbershop@123,approved,created
ElArJu Barbershop & Online Shop,Wesley Radja,owner.elarjubarbershoponlinesh044@pangkaskaka.id,ElArJuBarbershop@123,approved,created
Eleven Barbershop,Xaverius Foenay,owner.elevenbarbershop045@pangkaskaka.id,ElevenBarbershop@123,approved,created
Etho Barbershop,Yosua Bara,owner.ethobarbershop046@pangkaskaka.id,EthoBarbershop@123,approved,created
FanRel Barbershop,Zeta Feka,owner.fanrelbarbershop047@pangkaskaka.id,FanRelBarbershop@123,approved,created
Forah Barbershop,Alfons Mesak,owner.forahbarbershop048@pangkaskaka.id,ForahBarbershop@123,approved,created
Freedombarber's,Berto Uly,owner.freedombarbers049@pangkaskaka.id,Freedombarbers@123,approved,created
Fries Barbershop,Adi Tuka,owner.friesbarbershop050@pangkaskaka.id,FriesBarbershop@123,approved,created
Grem's Barbershop,Budi Bere,owner.gremsbarbershop051@pangkaskaka.id,GremsBarbershop@123,approved,created
Gaul Barbershop,Cindra Riwu,owner.gaulbarbershop052@pangkaskaka.id,GaulBarbershop@123,approved,created
Gentle-Man Barbershop,Deni Manafe,owner.gentlemanbarbershop053@pangkaskaka.id,GentleManBarbers@123,approved,created
Gentlemen's Barbershop Sumatera,Eko Ero,owner.gentlemensbarbershopsuma054@pangkaskaka.id,GentlemensBarber@123,approved,created
Good Barbershop,Fandi Lele,owner.goodbarbershop055@pangkaskaka.id,GoodBarbershop@123,approved,created
Goots Mini Barbershop,Gilbert Tefa,owner.gootsminibarbershop056@pangkaskaka.id,GootsMiniBarbers@123,approved,created
Grachio Barbershop,Hendra Sabaria,owner.grachiobarbershop057@pangkaskaka.id,GrachioBarbersho@123,approved,created
Grevlin Barbershop,Indra Doko,owner.grevlinbarbershop058@pangkaskaka.id,GrevlinBarbersho@123,approved,created
Growmen Salon,Jefri Halla,owner.growmensalon059@pangkaskaka.id,GrowmenSalon@123,approved,created
Ichat Barbershop,Kevin Lopez,owner.ichatbarbershop060@pangkaskaka.id,IchatBarbershop@123,approved,created
Icky Barbershop,Lukas Dako,owner.ickybarbershop061@pangkaskaka.id,IckyBarbershop@123,approved,created
J1 Barbershop,Marcel Kolo,owner.j1barbershop062@pangkaskaka.id,J1Barbershop@123,approved,created
Jhian Barbershop,Nando Suan,owner.jhianbarbershop063@pangkaskaka.id,JhianBarbershop@123,approved,created
JM Barbershop 2018,Oscar Rihi,owner.jmbarbershop2018064@pangkaskaka.id,JMBarbershop2018@123,approved,created
Joker Barbershop,Petrus Kase,owner.jokerbarbershop065@pangkaskaka.id,JokerBarbershop@123,approved,created
JR Barbershop,Rico Sakan,owner.jrbarbershop066@pangkaskaka.id,JRBarbershop@123,approved,created
Kairos Barbershop,Samuel Ndoen,owner.kairosbarbershop067@pangkaskaka.id,KairosBarbershop@123,approved,created
Keluar-Keluar Ganteng Barbershop,Toni Bau,owner.keluarkeluargantengbarbe068@pangkaskaka.id,KeluarKeluarGant@123,approved,created
Key Barbershop,Ucok Jaka,owner.keybarbershop069@pangkaskaka.id,KeyBarbershop@123,approved,created
King Barber Shop HR Koroh,Vincent Riu,owner.kingbarbershophrkoroh070@pangkaskaka.id,KingBarberShopHR@123,approved,created
King Barbershop WJ Lalamentik,Willy Zonge,owner.kingbarbershopwjlalament071@pangkaskaka.id,KingBarbershopWJ@123,approved,created
Koe Barbershop,Yohanes Lay,owner.koebarbershop072@pangkaskaka.id,KoeBarbershop@123,approved,created
Koe Barbershop Bumi I,Andre Bakker,owner.koebarbershopbumii073@pangkaskaka.id,KoeBarbershopBum@123,approved,created
Lapan Lapan Barbershop Cabang Oebufu,Beni Fanggidae,owner.lapanlapanbarbershopcaba074@pangkaskaka.id,LapanLapanBarber@123,approved,created
Lapan Lapan Barbershop Cabang Merdeka,Carlos Amtaran,owner.lapanlapanbarbershopcaba075@pangkaskaka.id,LapanLapanBarber@123,approved,created
Lapanlapan Barbershop,Daud Ipa,owner.lapanlapanbarbershop076@pangkaskaka.id,LapanlapanBarber@123,approved,created
LC Barbershop,Ferdi Pello,owner.lcbarbershop077@pangkaskaka.id,LCBarbershop@123,approved,created
Locker Barbershop,Ganda Yosef,owner.lockerbarbershop078@pangkaskaka.id,LockerBarbershop@123,approved,created
Lordez Barbershop,Harry Manu,owner.lordezbarbershop079@pangkaskaka.id,LordezBarbershop@123,approved,created
Luxury Barbershop,Ivan Meko,owner.luxurybarbershop080@pangkaskaka.id,LuxuryBarbershop@123,approved,created
Manliest Barbershop,Julius Nubatonis,owner.manliestbarbershop081@pangkaskaka.id,ManliestBarbersh@123,approved,created
Manliest Barbershop Oebufu,Kris Selan,owner.manliestbarbershopoebufu082@pangkaskaka.id,ManliestBarbersh@123,approved,created
Manliest Barbershop Pasir Panjang,Lambert Halena,owner.manliestbarbershoppasirp083@pangkaskaka.id,ManliestBarbersh@123,approved,created
Manoah Barbershop Cab. Kelapa Lima,Mario Oematan,owner.manoahbarbershopcabkelap084@pangkaskaka.id,ManoahBarbershop@123,approved,created
Max Salon,Nathan Ximenes,owner.maxsalon085@pangkaskaka.id,MaxSalon@123,approved,created
ML Barbershop,Otto Baba,owner.mlbarbershop086@pangkaskaka.id,MLBarbershop@123,approved,created
MMS Barbershop,Paulus Boimau,owner.mmsbarbershop087@pangkaskaka.id,MMSBarbershop@123,approved,created
Mr. Seven's Barbershop,Quintus Adoe,owner.mrsevensbarbershop088@pangkaskaka.id,MrSevensBarbersh@123,approved,created
Namas Hair Salon,Rendi Ledoh,owner.namashairsalon089@pangkaskaka.id,NamasHairSalon@123,approved,created
Nio X Barbershop,Silvester Gero,owner.nioxbarbershop090@pangkaskaka.id,NioXBarbershop@123,approved,created
Obed Barbershop,Timo Nifu,owner.obedbarbershop091@pangkaskaka.id,ObedBarbershop@123,approved,created
Panda Barbershop,Umar Waty,owner.pandabarbershop092@pangkaskaka.id,PandaBarbershop@123,approved,created
Pangkas Rambut & Toko Perabot,Viktor Nalle,owner.pangkasrambuttokoperabot093@pangkaskaka.id,PangkasRambutTok@123,approved,created
Pangkas Rambut FM,Wesley Radja,owner.pangkasrambutfm094@pangkaskaka.id,PangkasRambutFM@123,approved,created
Pangkas Rambut Victory,Xaverius Foenay,owner.pangkasrambutvictory095@pangkaskaka.id,PangkasRambutVic@123,approved,created
Papa2G Barbershop,Yosua Bara,owner.papa2gbarbershop096@pangkaskaka.id,Papa2GBarbershop@123,approved,created
Peak Barbershop and Beauty Salon,Zeta Feka,owner.peakbarbershopandbeautys097@pangkaskaka.id,PeakBarbershopan@123,approved,created
PJR Barbershop,Alfons Mesak,owner.pjrbarbershop098@pangkaskaka.id,PJRBarbershop@123,approved,created
Regiano Nalle Barbershop,Berto Uly,owner.regianonallebarbershop099@pangkaskaka.id,RegianoNalleBarb@123,approved,created
Redix Barbershop,Adi Tuka,owner.redixbarbershop100@pangkaskaka.id,RedixBarbershop@123,approved,created
Rock & Roll Barbershop,Budi Bere,owner.rockrollbarbershop101@pangkaskaka.id,RockRollBarbersh@123,approved,created
Ropesjo Barbershop,Cindra Riwu,owner.ropesjobarbershop102@pangkaskaka.id,RopesjoBarbersho@123,approved,created
Shuffah Barbershop,Deni Manafe,owner.shuffahbarbershop103@pangkaskaka.id,ShuffahBarbersho@123,approved,created
Shunan Barbershop,Eko Ero,owner.shunanbarbershop104@pangkaskaka.id,ShunanBarbershop@123,approved,created
S.N. Barbershop,Fandi Lele,owner.snbarbershop105@pangkaskaka.id,SNBarbershop@123,approved,created
Squad Barbershop,Gilbert Tefa,owner.squadbarbershop106@pangkaskaka.id,SquadBarbershop@123,approved,created
Starsbox Barbershop Kupang,Hendra Sabaria,owner.starsboxbarbershopkupang107@pangkaskaka.id,StarsboxBarbersh@123,approved,created
Tabas Barbershop,Indra Doko,owner.tabasbarbershop108@pangkaskaka.id,TabasBarbershop@123,approved,created
Texan Barbershop,Jefri Halla,owner.texanbarbershop109@pangkaskaka.id,TexanBarbershop@123,approved,created
The Barberock's,Kevin Lopez,owner.thebarberocks110@pangkaskaka.id,TheBarberocks@123,approved,created
The Lexcut,Lukas Dako,owner.thelexcut111@pangkaskaka.id,TheLexcut@123,approved,created
The Lucky Barbershop,Marcel Kolo,owner.theluckybarbershop112@pangkaskaka.id,TheLuckyBarbersh@123,approved,created
Timoer Barbershop,Nando Suan,owner.timoerbarbershop113@pangkaskaka.id,TimoerBarbershop@123,approved,created
Titox Barbershop,Oscar Rihi,owner.titoxbarbershop114@pangkaskaka.id,TitoxBarbershop@123,approved,created
To'o Barbershop,Petrus Kase,owner.toobarbershop115@pangkaskaka.id,TooBarbershop@123,approved,created
Triple-D Barbershop,Rico Sakan,owner.tripledbarbershop116@pangkaskaka.id,TripleDBarbersho@123,approved,created
Unfamous Barbershop,Samuel Ndoen,owner.unfamousbarbershop117@pangkaskaka.id,UnfamousBarbersh@123,approved,created
War Barbershop,Toni Bau,owner.warbarbershop118@pangkaskaka.id,WarBarbershop@123,approved,created
YTP Barbershop,Ucok Jaka,owner.ytpbarbershop119@pangkaskaka.id,YTPBarbershop@123,approved,created
